Blue Eaten,CTD,EarlyBird,Orange Eaten,Penalty1(total),Score,Seed,Vegan,VegetarianBlue,VegetarianOrange,Win/Lose
1,0,0,0,1,1107.0,0,1,1,0,win
1,0,0,0,1,1077.0,0,1,1,0,win
1,0,0,1,2,1303.0,0,2,1,1,win
1,0,0,1,2,1297.0,0,2,1,1,win
0,0,0,1,1,1097.0,0,1,0,1,win
0,0,1,0,0,0.0,0,0,0,0,timeout
1,0,0,0,1,1075.0,0,1,1,0,win
1,0,0,0,1,1115.0,0,1,1,0,win
1,0,0,0,1,1115.0,0,1,1,0,win
1,0,0,0,1,122.0,0,1,1,0,lose
1,0,0,0,1,1106.0,0,1,1,0,win
1,0,1,0,1,1117.0,0,1,1,0,win
1,0,0,0,1,1019.0,0,1,1,0,win
1,0,0,1,2,1351.0,0,2,1,1,win
1,0,0,0,1,1150.0,0,1,1,0,win
1,0,0,0,1,1074.0,0,1,1,0,win
0,0,0,1,1,1064.0,0,1,0,1,win
1,0,0,0,1,1117.0,0,1,1,0,win
0,0,0,1,1,1088.0,0,1,0,1,win
0,0,0,1,1,1138.0,0,1,0,1,win
1,0,0,1,2,1345.0,0,2,1,1,win
0,0,0,1,1,63.0,0,1,0,1,lose
1,0,0,0,1,1078.0,0,1,1,0,win
0,0,0,1,1,1118.0,0,1,0,1,win
0,0,0,1,1,1101.0,0,1,0,1,win
0,0,0,1,1,1092.0,0,1,0,1,win
1,0,0,0,1,1114.0,0,1,1,0,win
0,0,0,1,1,1108.0,0,1,0,1,win
0,0,0,1,1,1110.0,0,1,0,1,win
1,0,0,0,1,1164.0,0,1,1,0,win
0,0,0,1,1,1133.0,0,1,0,1,win
0,0,0,1,1,1139.0,0,1,0,1,win
1,0,0,0,1,1068.0,0,1,1,0,win
0,0,0,2,2,1332.0,0,2,0,2,win
1,0,0,0,1,1097.0,0,1,1,0,win
1,0,1,0,1,1074.0,0,1,1,0,win
1,0,0,0,1,1130.0,0,1,1,0,win
1,0,0,1,2,1332.0,0,2,1,1,win
0,0,0,1,1,1114.0,0,1,0,1,win
0,0,0,1,1,1076.0,0,1,0,1,win
1,0,0,0,1,-133.0,0,1,1,0,lose
1,0,0,0,1,1115.0,0,1,1,0,win
0,0,0,1,1,1129.0,0,1,0,1,win
1,0,0,0,1,1133.0,0,1,1,0,win
1,0,0,0,1,1132.0,0,1,1,0,win
1,0,0,0,1,1126.0,0,1,1,0,win
1,0,0,0,1,1122.0,0,1,1,0,win
1,0,0,0,1,1136.0,0,1,1,0,win
0,0,0,1,1,1116.0,0,1,0,1,win
0,0,0,1,1,1082.0,0,1,0,1,win
0,0,0,1,1,1107.0,0,1,0,1,win
1,0,0,0,1,1111.0,0,1,1,0,win
0,0,0,1,1,1131.0,0,1,0,1,win
0,0,0,1,1,1134.0,0,1,0,1,win
0,0,0,1,1,1149.0,0,1,0,1,win
1,0,0,1,2,1313.0,0,2,1,1,win
0,0,0,1,1,125.0,0,1,0,1,lose
0,0,0,1,1,1159.0,0,1,0,1,win
0,0,1,0,0,0.0,0,0,0,0,timeout
0,0,0,1,1,1101.0,0,1,0,1,win
0,0,0,1,1,1111.0,0,1,0,1,win
0,0,0,1,1,1137.0,0,1,0,1,win
0,0,0,1,1,1064.0,0,1,0,1,win
0,0,0,1,1,1097.0,0,1,0,1,win
0,0,0,1,1,1146.0,0,1,0,1,win
0,0,0,1,1,1153.0,0,1,0,1,win
1,0,0,0,1,1107.0,0,1,1,0,win
